ID,Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,URL,Message,unicode,Translation,remark,cdm
p20210201_20210207_0110,စိုက္ပ်ိဳးေရး သတင္းႏွင့္ နည္းပညာ,,635084850181483,258518,2021-02-03 20:50:43 MMT,Native Video,1542,13,387,182,1,1,4,1,9,https://www.facebook.com/groups/635084850181483/permalink/1321575798199048,,,#VALUE!,content not available,
p20210201_20210207_0111,စုိက္ပ်ိဳးေရးအသိပညာ မွ်ေဝေရး,,198033530405948,97313,2021-02-02 15:54:20 MMT,Native Video,190,129,50,147,2,1,0,0,0,https://www.facebook.com/groups/198033530405948/permalink/1514773085398646,,,#VALUE!,,
p20210201_20210207_0112,လယ္ထြန္စက္ဝါသနာအိုးမ်ားစုေဝးရာနယ္ေျမ,,1813231355602221,48236,2021-02-02 20:55:18 MMT,Status,504,31,5,12,0,2,0,0,1,https://www.facebook.com/groups/1813231355602221/permalink/2888561858069160,ကျွန်တော့ဂရုကတော့ အနီတွေအတွက် openပါ,ကျွန်တော့ဂရုကတော့ အနီတွေအတွက် openပါ,My care is open for red,,
p20210201_20210207_0113,လယ္ယာသုံးစက္ အမ်ိဳးမ်ိဳး ေရာင္းဝယ္ေရးyzt,,2240073862755429,34645,2021-02-02 21:32:12 MMT,Photo,414,25,54,7,0,3,0,0,0,https://www.facebook.com/groups/2240073862755429/permalink/3645061572256644,,,#VALUE!,,
p20210201_20210207_0114,ထြန္စက္သမားမ်ား ဆံုစည္းရာ,,615264345684951,75210,2021-02-05 14:33:11 MMT,Link,390,5,27,3,0,3,0,0,1,https://www.facebook.com/groups/615264345684951/permalink/844258426118874,,,#VALUE!,,
p20210201_20210207_0115,စိုက္ပ်ိဳးေရးနည္းပညာဗဟုသုတမ်ား,,143741819717326,100987,2021-02-04 19:32:34 MMT,Photo,532,6,38,30,0,2,0,0,0,https://www.facebook.com/groups/143741819717326/permalink/913357232755777,,,#VALUE!,,
p20210201_20210207_0116,င႐ုတ္သီးေစ်းကြက္ႏွင့္နည္းပညာဖြံၿဖိဳးေရး🌶,,1914562728653399,55027,2021-02-02 18:02:05 MMT,Status,1110,86,161,4,6,5,34,3,0,https://www.facebook.com/groups/1914562728653399/permalink/3507946469315009,,,#VALUE!,,
p20210201_20210207_0117,ထြန္စက္သမားမ်ား ဆံုစည္းရာ,,615264345684951,75262,2021-02-07 18:37:24 MMT,Photo,1229,19,114,41,2,1,0,0,1,https://www.facebook.com/groups/615264345684951/permalink/845401592671224,,,#VALUE!,,
p20210201_20210207_0118,ထွန်စက်သမားများဆုံဆည်းရာ(မြန်မာ)🚀🇲🇲🚜,,398032267478716,58136,2021-02-05 05:42:29 MMT,Link,363,2,32,11,0,0,0,0,0,https://www.facebook.com/groups/398032267478716/permalink/773899399891999,,,#VALUE!,,
p20210201_20210207_0119,ထြန္စက္သမားမ်ားဆုံစည္းရာ,,2095820457338518,42718,2021-02-07 14:58:48 MMT,Photo,476,9,99,13,0,0,0,0,0,https://www.facebook.com/groups/2095820457338518/permalink/2823580441229179,,,#VALUE!,content not available,
p20210201_20210207_0120,ထြန္စက္သမားမ်ား ဆံုစည္းရာ,,615264345684951,75210,2021-02-05 09:59:38 MMT,Link,312,6,49,3,1,1,0,0,1,https://www.facebook.com/groups/615264345684951/permalink/844183269459723,,,#VALUE!,,
p20210201_20210207_0121,ပိန္းပန္းစိုက္ပ်ိဳးျကသူမ်ား ႏွင့္ သစ္ခြပန္းမ်ိဳးစံု,,199171594156546,53371,2021-02-03 05:52:07 MMT,Photo,513,80,9,110,2,0,0,0,7,https://www.facebook.com/groups/199171594156546/permalink/907249576682074,ရူလိုမငြီး ကိုယ့်သမီး 💗💗💗,ရူလိုမငြီး ကိုယ့်သမီး 💗💗💗,I'm tired of my daughter 💗💗💗,,
p20210201_20210207_0122,စပါးစုိက္ေတာင္သူမ်ားစုစည္း၍လက္ေတြ႔အခက္ခဲမ်ားႏွင့္ေအာင္ျမင္မူ႕မ်ားမ်ွေ၀ၾကမည္,,227712040932554,118090,2021-02-01 18:44:55 MMT,Link,800,28,39,5,0,1,10,0,1,https://www.facebook.com/groups/227712040932554/permalink/1274720759565005,,,#VALUE!,content not available,
p20210201_20210207_0123,တီထြင္ဖန္တီး စိုက္ပ်ိဳးနည္းမ်ား မ်ွေဝရာ,,881117928599328,218292,2021-02-07 15:22:44 MMT,Photo,829,4,75,40,0,0,0,0,0,https://www.facebook.com/groups/881117928599328/permalink/3944941422216948,,,#VALUE!,,
p20210201_20210207_0124,စိုက်ပျိုးရေးဆိုင်ရာ အဖြာဖြာ,,513448228776468,447670,2021-02-03 13:27:21 MMT,Link,2670,107,354,60,3,18,1,0,5,https://www.facebook.com/groups/513448228776468/permalink/3689483814506211,စစ်အစိုးရကိုဆန့်ကျင်သည့်အနေဖြင့်MYTEL မှ အင်ဂျင်နီယာ ၇၁ဦး ရာထူးမှနုတ်ထွက်မှုများပြုလုပ်ကြောင်းကြေညာ,စစ်အစိုးရကိုဆန့်ကျင်သည့်အနေဖြင့်MYTEL မှ အင်ဂျင်နီယာ ၇၁ဦး ရာထူးမှနုတ်ထွက်မှုများပြုလုပ်ကြောင်းကြေညာ,71 engineers from MyTEL announced resignation of 71 engineers from MyTel as opposition to the junta,,
p20210201_20210207_0125,စိုက်ပျိုးရေးဆိုင်ရာ အဖြာဖြာ,,513448228776468,448083,2021-02-05 11:29:07 MMT,Link,2642,30,290,176,1,5,1,0,10,https://www.facebook.com/groups/513448228776468/permalink/3694410100680249,တ႐ုတ္ႏွင့္ စစ္တပ္ပိုင္ ျမန္မာ့စီးပြား​ေရး ဦးပိုင္ဖက္စပ္ ေၾကးနီထုတ္စီမံကိန္းမ်ားမွ ျမန္မာဝန္ထမ္းမ်ား အလုပ္မဆင္းဘဲ စစ္အာဏာသိမ္းမႈကို သပိတ္ေမွာက္ .,တရုတ်နှင့် စစ်တပ်ပိုင် မြန်မာ့စီးပွား​ရေး ဦးပိုင်ဖက်စပ် ကြေးနီထုတ်စီမံကိန်းများမှ မြန်မာဝန်ထမ်းများ အလုပ်မဆင်းဘဲ စစ်အာဏာသိမ်းမှုကို သပိတ်မှောက် .,Burma staff strike the military coup from the Burmese staff from China and military-owned military-owned Myanmar Economic Projects.,,
p20210201_20210207_0126,တီထြင္ဖန္တီး စိုက္ပ်ိဳးနည္းမ်ား မ်ွေဝရာ,,881117928599328,218316,2021-02-02 13:05:45 MMT,Photo,795,11,103,93,0,5,0,0,6,https://www.facebook.com/groups/881117928599328/permalink/3930908883620202,,,#VALUE!,,
p20210201_20210207_0127,ခေတ်မီ စိုက်ပျိုးရေး နည်းပညာများ,,1174256049410432,93131,2021-02-05 09:36:10 MMT,Photo,465,42,117,42,1,2,0,0,0,https://www.facebook.com/groups/1174256049410432/permalink/1801879699981394,,,#VALUE!,,
